"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 09 07:07:30 UTC 2024","Sat Mar 09 07:07:30 UTC 2024","79","","yo.dbunitcli.application.ConvertTest","","yo.dbunitcli.application.ConvertTest","testXlsWithSchemaToCsv","testXlsWithSchemaToCsv()",""
"passed","Sat Mar 09 07:07:12 UTC 2024","Sat Mar 09 07:07:12 UTC 2024","547","","yo.dbunitcli.application.CompareOptionTest","","yo.dbunitcli.application.CompareOptionTest","parseArgumentsLoadableFromParameterFile","parseArgumentsLoadableFromParameterFile()",""
"passed","Sat Mar 09 07:07:30 UTC 2024","Sat Mar 09 07:07:30 UTC 2024","110","","yo.dbunitcli.application.ConvertTest","","yo.dbunitcli.application.ConvertTest","testConvertFilePathToCsvWithSetting","testConvertFilePathToCsvWithSetting()",""
"passed","Sat Mar 09 07:07:31 UTC 2024","Sat Mar 09 07:07:31 UTC 2024","47","","yo.dbunitcli.application.ConvertTest","","yo.dbunitcli.application.ConvertTest","testConvertInnerJoin","testConvertInnerJoin()",""
"passed","Sat Mar 09 07:07:35 UTC 2024","Sat Mar 09 07:07:35 UTC 2024","16","","yo.dbunitcli.dataset.producer.ComparableXlsDataSetProducerTest","","yo.dbunitcli.dataset.producer.ComparableXlsDataSetProducerTest","createDataSetFromFile","createDataSetFromFile()",""
"passed","Sat Mar 09 07:07:33 UTC 2024","Sat Mar 09 07:07:33 UTC 2024","47","","yo.dbunitcli.application.DBIntegrationTest","","yo.dbunitcli.application.DBIntegrationTest","exportFromDB","exportFromDB()",""
"passed","Sat Mar 09 07:07:35 UTC 2024","Sat Mar 09 07:07:35 UTC 2024","63","","yo.dbunitcli.application.ParameterizeTest","","yo.dbunitcli.application.ParameterizeTest","testDataDrivenExport","testDataDrivenExport()",""
"passed","Sat Mar 09 07:07:34 UTC 2024","Sat Mar 09 07:07:34 UTC 2024","47","","yo.dbunitcli.application.GenerateTest","","yo.dbunitcli.application.GenerateTest","testGenerateRefresh","testGenerateRefresh()",""
"passed","Sat Mar 09 07:07:25 UTC 2024","Sat Mar 09 07:07:26 UTC 2024","579","","yo.dbunitcli.application.CompareTest","","yo.dbunitcli.application.CompareTest","testSuccessResultDiffExpected","testSuccessResultDiffExpected()",""
"passed","Sat Mar 09 07:07:33 UTC 2024","Sat Mar 09 07:07:33 UTC 2024","63","","yo.dbunitcli.application.DBIntegrationTest","","yo.dbunitcli.application.DBIntegrationTest","updateToDB","updateToDB()",""
